cod_masa,infiltracion_lluvia,transferencia_entre_masas,infiltracion_torrentes,retorno_riegos,perdida_redes_abastecimiento,perdida_redes_alcantarillado,intrusion_salina,abastecimiento_red,agrojardineria,industria,regadio,ganaderia,torrentes,manantiales,humedales,transferencia_a_masas,salida_mar,salida_zzhh
1801M1,91,0,0,1.86,0,0,7.14,0,7.54,0,0.25,0.74,0,16.69,0,0,74.91,0
1801M2,70.12,21.78,0,0.62,0,5.5,2.07,0,31.07,0,5.46,0.54,0,0,0,0,63.03,0
1801M3,55.99,43.64,0,0,0,0.5,0,0,11.84,0,0.12,1.1,0,28.08,0,0,58.85,0
1801M4,100,0,0,0,0,0,0,0,1.83,0,0.06,0.37,0,11.6,0,34.19,51.95,0
1802M1,99.91,0,0,0.09,0,0,0,0,0.51,0,0.4,0,0,57.78,0,0,41.37,0
1802M2,88.8,0,4.44,0.12,5.82,0.85,0,15.96,4.57,0,0.83,0.18,4.14,74.35,0,0,0,0
1802M3,94.74,0,2.45,0.05,2.17,0.61,0,5.1,2.18,0.02,0.29,0.12,2.45,68.05,0,21.81,0,0
1804M1,93.21,0,1.26,0.14,4.76,0.64,0,9.46,2.72,0,0.74,0.13,6.52,40.97,0,0,39.47,0
1804M2,95.64,0,0,0.08,3.2,0.45,0.63,9.65,8.23,0,0.52,0.14,6.17,0.87,1.56,0,72.1,0.78
1804M3,65.85,16.06,0,1.09,3.02,12.82,1.16,6.98,9.52,0,7.02,0.19,2.6,0,36.35,0,16.23,21.13
1805M1,91.95,3.32,1.33,0.1,0,3.32,0,0,2.27,0,0.6,0.14,4.3,38.98,0,53.71,0,0
1805M2,23.99,74.33,0,0.42,0.95,0.13,0.19,3.35,5.08,0,1.51,0.15,4.55,82.65,0,0,2.69,0
1805M3,94.15,0,3.48,0.42,1.95,0.28,0,7.16,10.68,0,3.52,0,19.95,0,0,58.69,0,0
1806M1,99.16,0,0.82,0.02,0,0,0,0,0.25,0,0.04,0,1.53,86.69,0,11.5,0,0
1806M2,98.49,0,1.13,0.09,0.25,0.05,0,0.25,0.85,0,0.55,0.11,2.21,96.04,0,0,0,0
1806M3,75.68,13.03,4.07,0.1,6.51,0.65,0,4.12,3.56,0,0.74,0.21,6.97,24.37,0,0,60.04,0
1806M4,34.16,33.17,18.08,2.92,7.96,3.71,0,5.72,16.84,0,10.78,0.17,14.7,40.42,0,11.38,0,0
1807M1,85.25,8.16,1.16,0.68,4.08,0.68,0,1.96,2.79,1.01,2.4,0.18,9.2,81.4,0.06,0.99,0,0.03
1807M2,77.68,0,20.96,0.07,0.92,0.37,0,2.14,2.31,0.07,0.49,0.19,13.69,37.43,0,43.69,0,0
1808M1,51.56,13.83,33.3,0.04,1.02,0.26,0,75.52,1.66,0,0.3,0.05,4.85,3.7,0,13.92,0,0
1808M2,90.05,8.63,0.86,0.17,0.26,0.03,0,0.49,0.24,0,1.11,0,13.37,38.71,0,46.06,0,0
1809M1,82.02,0,4.42,0.33,10.25,3.03,0,29.93,14.82,0.04,2.25,0.52,18.55,24.09,0,9.79,0,0
1809M2,48.03,12.99,7.98,0.37,26.99,3.66,0,79.79,7.69,0.11,2.95,0.12,6.56,1.31,0,1.5,0,0
1810M1,75.38,17.17,6.68,0.05,0.67,0.08,0,1.64,0.7,0,0.35,0.07,7.49,77.26,0,12.49,0,0
1811M1,40.39,40.22,9.46,4.04,3.59,0.61,1.69,9.43,2.45,0.2,28.01,0.09,1.16,0,37.57,0,4.17,16.92
1811M2,76.19,6.23,4.02,1.23,9.91,1.98,0.44,25.79,4.09,0,8.17,0.14,2.34,0.58,12.75,26.33,7.09,12.74
1811M3,84.12,5.86,0,2.38,4.74,2.89,0,14.8,14.01,5.03,19.98,0.32,0.36,5.24,0,40.28,0,0
1811M4,88.91,0,2.48,0.33,7.28,1.08,0,22.44,1.6,0,2.4,0,6.72,13.18,0,53.73,0,0
1811M5,49.35,26.95,2.66,0.87,17.37,2.81,0,55.1,0.83,0,7.86,0.26,5.6,4.34,0,26.05,0,0
1812M1,82.26,0,8.02,0.09,8.54,1.13,0,20.87,1.63,0,0.54,0.19,9.96,49.25,0,17.56,0,0
1812M2,69.74,13.88,1.14,0.25,10.17,3.71,1.14,30.03,4.7,0,1.88,0.14,5.09,17.91,0,28.64,11.63,0
1812M3,63.56,29.8,0,5.15,0,0,1.49,0,5.9,0,10.23,0.32,16.48,0,0,0,67.11,0
1813M1,42.54,24.68,0,2.76,22.35,2.65,5,73.72,1.7,0.14,4.26,0.12,0,0,0,0,20.08,0
1813M2,82.5,4.75,0,0.71,0,9.86,2.18,0,1.52,0,2.81,0.2,2.01,0.98,2.23,15.61,73.53,1.12
1814M1,74.77,10.16,3.19,0.28,9.06,2.54,0,26.62,10.23,0,2.22,0.12,6.39,0,0,31.09,23.34,0
1814M2,39.45,34.63,0,10.98,3.34,9.92,1.69,14.04,6.39,1.37,0,5.84,0,0,2.47,0,68.51,1.4
1814M3,50.56,29.63,0.13,1.08,9.24,8.97,0.39,47.49,6.64,2.3,8.25,0.36,1.99,0,0,8.63,24.35,0
1814M4,64.63,30.09,2.08,1.25,1.54,0.39,0,2.21,17,0.42,12.49,0.39,8.04,11.2,0.31,47.82,0,0.15
1815M1,94.83,0,0,1.14,2.75,1.33,0,8.76,9.92,4.02,10.04,0.48,2.57,24.1,0,40.16,0,0
1815M2,76.56,19.43,0.97,1.48,1.4,0.19,0,4.73,23.37,0.11,6.81,0.86,34.35,0,0,29.77,0,0
1815M3,96.25,0,0,0.62,1.85,1.34,0,5.46,16.62,0,4.78,0.28,1.38,39.39,0,32.14,0,0
1815M4,63.21,26.64,0.53,5.66,2.46,1.5,0,7.52,18.49,1.16,60.75,0.35,11.75,0,0,0,0,0
1816M1,84.94,0,6.39,2.56,5.59,0.56,0,16.12,7.95,0.03,19.96,1.06,5.02,0,0,49.89,0,0
1816M2,79.68,8.16,5.34,0.24,4.15,2,0.44,11.87,1.83,0.04,1.88,0.09,7.39,0,1.34,0,74.9,0.67
1817M1,67.75,7.3,1.92,1.81,14.21,4.29,2.74,43.53,7.07,0.22,5.09,0.22,10.27,2.01,0.86,4.63,25.67,0.43
1817M2,51.61,9.76,5.79,1.66,23.51,6.89,0.85,69.07,11.96,0,3.91,0.21,3.14,1.56,0,3.96,6.25,0
1817M3,76.33,0,5.88,1.1,13.19,1.65,1.84,38.69,23.32,0.09,8.6,1.5,13.49,0,0,11.78,2.59,0
1817M4,70.36,0,7.46,1.13,17.08,3.97,0,42.12,11.62,0,7.75,0.67,23.82,7.31,0,6.74,0,0
1817M5,98.94,0,0,0,0.98,0.16,0,2.21,4.21,0,0.11,0.32,0,20.9,0,0,72.3,0
1817M6,82.39,0,13.83,2.58,1.2,0,0,2.95,5.4,0,3.17,0.33,36.52,40.72,0,10.92,0,0
1818M1,55.93,22.46,0,5.04,11.98,4.59,0,38.74,8.67,0.26,42.63,0.35,9.35,0,0,0,0,0
1818M2,70.3,5.25,0,3.15,18.89,2.47,0,54.73,12.07,0,16.28,1.03,0,0,0,15.89,0,0
1818M3,84.65,0,0,1.06,12.54,1.82,0,40.38,15.01,0,9.55,0.95,0,0,0,34.11,0,0
