id_edar,nombre_edar,punto_vertido,volumen_anual_maximo_m3,zona_abaqua,latitud_vertido,latitud_edar,longitud_vertido,longitud_edar,geometry_pg
666,DEIA,POUS INFILTRACIO,84887,ABAQUA / Mallorca 6,39.755463999999996,39.751917,2.641569,2.644097,0101000020E6100000C8FCE4531C2705400462F4D03EE04340
667,EIVISSA,EMISARI LITORAL,5475545,ABAQUA / Eivissa 1,38.90474,38.923054,1.46477,1.4418579999999999,0101000020E6100000CF2AB4B1D911F73FC48F29A226764340
668,ES MERCADAL-FORNELLS,TORRENT I REUTILITZACIÓ REG,398685,ABAQUA / Menorca 1,40.003589999999996,40.002763,4.09497,4.094386,0101000020E610000080D243B9A66010406EF3B6895A004440
669,ESTELLENCS,TERRENY,17439,ABAQUA / Mallorca 6,39.656884999999996,39.656898999999996,2.4794869999999998,2.479457,0101000020E6100000EC093E8DEDD50340EE83334415D44340
670,FELANITX,LLACUNA EVAPORACIÓ INFILTRACIO + TERRENY,1076088,ABAQUA / Mallorca 7,39.490156,39.477838999999996,3.129629,3.1377409999999997,0101000020E61000006ADB0DF4171A0940CB520DD429BD4340
671,FERRERIES,TORRENT,361493,ABAQUA / Menorca 2,39.977385,39.979692,4.014151,4.024386,0101000020E61000003428BEA4F81810402FF6248C66FD4340
672,FONT DE SA CALA,EMISARI LITORAL,158900,ABAQUA / Mallorca 2,39.682066,39.680095,3.4562019999999998,3.447181,0101000020E6100000000ED4A1D3930B4058A5595A0DD74340
673,FORMENTERA,EMISARI LITORAL I REUTILITZACIÓ REG,527086,ABAQUA / Eivissa 2,38.737269999999995,38.712861,1.40951,1.432551,0101000020E6100000DBE50E99BAEBF63F83847A073F5B4340
674,FORMENTOR,LLACUNA EVAPORACIÓ INFILTRACIO + TERRENY,28886,ABAQUA / Mallorca 3,39.93061,39.9304,3.13351,3.1330799999999996,0101000020E6100000A45E2A3F8C100940114BE05817F74340
675,INCA,TORRENT I REUTILITZACIÓ REG,2465109,ABAQUA / Mallorca 5,39.714534,39.714056,2.930725,2.930312,0101000020E61000003FBEF56A47710740D301DD2F66DB4340
676,LLORET,TORRENT,67837,ABAQUA / Mallorca 4,39.609026,39.60888,2.9813169999999998,2.9813009999999998,0101000020E610000010C7C456B4D90740476CA1C7EFCD4340
677,LLOSETA,TORRENT,277597,ABAQUA / Mallorca 5,39.709502,39.709133,2.8654479999999998,2.864998,0101000020E61000009B6C3A1284EB06403B7BBFDEC4DA4340
