cod_masa,cod_estacion
1801M1,B108
1801M1,B109
1801M1,B115
1801M2,B108
1801M2,B109
1801M2,B115
1801M2,B118
1801M3,B102
1801M3,B108
1801M3,B115
1801M4,B115
1801M4,B118
1802M1,B094
1802M1,B118
1802M2,B084
1802M2,B085
1802M2,B087
1802M2,B087X
1802M2,B094
1802M3,B077
1802M3,B082
1802M3,B249
1803M3,B006
1803M3,B013
1803M3,B013X
1803M3,B684A
1803M3,B745
1804M1,B006
1804M1,B745
1804M1,B757
1804M2,B760X
1804M2,B780
1804M2,B780X
1804M3,B698B
1804M3,B703
1804M3,B733
1805M1,B013
1805M1,B013X
1805M1,B745
1805M1,B760
1805M1,B760X
1805M2,B733
1805M2,B760
1805M2,B760X
1805M3,B733
1806M1,B248
1806M1,B646
1806M1,B684A
1806M2,B054
1806M2,B684A
1806M3,B046
1806M3,B050A
1806M3,B053
1806M3,B061
1806M3,B062
1806M3,B075
1806M3,B077
1806M4,B054
1806M4,B061
1806M4,B062
1807M1,B236
1807M1,B236C
1807M1,B244
1807M1,B249
1807M1,B251
1807M1,B253
1807M1,B260
1807M2,B217
1807M2,B220
1807M2,B222B
1807M2,B237
1808M1,B251
1808M1,B253
1808M1,B255
1808M1,B264
1808M2,B264
1808M2,B646
1809M1,B677
1809M1,B677E
1809M1,B689
1809M2,B268
1809M2,B652
1809M2,B660
1809M2,B677
1810M1,B013
1810M1,B013X
1810M1,B688
1810M1,B694A
1810M1,B696
1811M1,B605
1811M1,B605X
1811M1,B690
1811M1,B691
1811M1,B691Y
1811M1,B692A
1811M1,B695
1811M2,B644
1811M2,B644B
1811M2,B664
1811M2,B680
1811M2,B682
1811M3,B281
1811M3,B657
1811M3,B660
1811M3,B662X
1811M3,B664
1811M3,B678
1811M4,B690
1811M4,B694A
1811M4,B696
1811M5,B690
1811M5,B696
1812M1,B118
1812M1,B174
1812M1,B187
1812M2,B158
1812M2,B158X
1812M2,B177
1812M2,B220
1812M3,B158
1812M3,B158X
1812M3,B176
1812M3,B177
1812M3,B178
1812M3,B201
1813M1,B214
1813M1,B234
1813M2,B176
1813M2,B214
1814M1,B281
1814M1,B670
1814M1,B670A
1814M1,B671
1814M2,B278
1814M2,B279A
1814M2,B284
1814M3,B228
1814M3,B228A
1814M3,B232
1814M3,B234
1814M3,B268
1814M3,B273
1814M3,B275B
1814M3,B656
1814M3,B656A
1814M4,B231
1814M4,B233
1814M4,B233A
1814M4,B236C
1814M4,B260
1815M1,B346
1815M1,B346X
1815M2,B346X
1815M2,B666
1815M3,B670
1815M3,B670A
1815M4,B612
1815M4,B638
1815M4,B639
1815M4,B640A
1815M4,B644
1815M4,B645
1816M1,B640A
1816M1,B641
1816M1,B645
1816M2,B603
1816M2,B603A
1816M2,B625
1816M2,B630
1816M2,B645
1817M1,B498
1817M1,B560
1817M1,B569X
1817M2,B492
1817M2,B496
1817M2,B496A
1817M2,B496X
1817M2,B498
1817M3,B472
1817M3,B480
1817M3,B480A
1817M3,B625
1817M4,B520
1817M4,B526
1817M4,B526X
1817M4,B630
1817M5,B512
1817M5,B602
1817M5,B603X
1817M6,B512
1817M6,B512A
1818M1,B613
1818M1,B614
1818M1,B614E
1818M1,B625
1818M2,B463
1818M2,B480
1818M3,B451
1818M3,B613
1818M3,B618
1818M4,B610
1818M4,B612
1818M5,B610
1818M5,B613
1818M5,B614E
1818M5,B618
1819M1,B436
1819M1,B451
1819M1,B606
1819M2,B424
1819M2,B430
1820M1,B410B
1820M1,B424
1820M1,B426
1820M1,B430
1820M1,B431
1820M2,B434
1820M2,B434A
1820M2,B434X
1820M2,B442
1820M2,B436
1820M3,B472
1820M3,B492
1821M1,B301
1821M1,B321
1821M1,B330
1821M1,B332
1821M1,B334X
1821M2,B362X
1821M2,B373X
1821M2,B377
1821M2,B379
1821M2,B390
1821M3,B346
1821M3,B610
1901M1,B800
1901M1,B800X
1901M1,B801
1901M1,B802
1901M1,B804
1901M1,B806
1901M1,B893
1901M2,B870
1901M2,B870C
1901M2,B872
1901M3,B860
1901M3,B860X
1901M3,B870
1901M3,B870C
2001M1,B907
2001M1,B908X
2001M2,B908X
2002M1,B914
2002M2,B914
2002M2,B925
2002M2,B926
2002M3,B914
2002M3,B925
2003M1,B966
2003M2,B966
2003M2,B958
2003M3,B908X
2003M3,B962
2003M3,B963
2003M3,B966
2003M4,B908X
2003M4,B963
2004M1,B907
2004M2,B907
2005M1,B926
2005M2,B926
2005M2,B914
2005M2,B954
2006M1,B962
2006M1,B963
2006M2,B954
2006M2,B957
2006M2,B958
2006M3,B914
2006M3,B954
2006M3,B958
2101M4,B984
2101M4,B986
2101M4,B988
