id_infiltracion_epoca_material,cod_masa,epoca,material,infiltracion_lluvia_porcentaje,area_km2
1,1801M1,Juràssic Inferior,Dolomies massives i bretxes,0.3,4.150001
2,1801M1,Juràssic mitjà,Margocalcàries,0,1.565762
3,1801M1,Oligocè,"Conglomerats, calcàries i argiles",0.05,0.687044
4,1801M1,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.15,0.962067
5,1801M1,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0.1,0.76978
6,1801M1,Triàsic mitjà-superior (Muschelkalk),Calcàries micrítiques i dolomies laminades,0.1,0.913415
7,1801M2,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0,1.392167
8,1801M2,Eocè (Bartonià),"Calcàries bioclàstiques, margues i calcàries",0.15,0.005024
9,1801M2,Juràssic Inferior,Dolomies massives i bretxes,0.25,3.258238
10,1801M2,Juràssic mitjà,Margocalcàries,0,0.55697
11,1801M2,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0,4.706049
12,1801M2,Oligocè,"Conglomerats, calcàries i argiles",0.05,0.569476
13,1801M2,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0.15,0.184756
14,1801M2,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.1,5.956715
15,1801M2,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0,1.931872
16,1801M2,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0.1,2.140769
17,1801M2,Triàsic mitjà-superior (Muschelkalk),Calcàries micrítiques i dolomies laminades,0.1,0.073504
18,1801M3,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0,2.658641
19,1801M3,Eocè (Bartonià),"Calcàries bioclàstiques, margues i calcàries",0.1,0.406116
20,1801M3,Juràssic Inferior,Dolomies massives i bretxes,0.3,2.186528
21,1801M3,Juràssic mitjà,Margocalcàries,0,0.477159
22,1801M3,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0,1.927788
23,1801M3,Oligocè,"Conglomerats, calcàries i argiles",0.05,1.741463
24,1801M3,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0.15,0.315927
25,1801M3,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.15,1.57538
26,1801M3,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0,0.266904
27,1801M3,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0.1,0.528171
28,1801M4,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0,0.984029
29,1801M4,Juràssic Inferior,Dolomies massives i bretxes,0,0.933584
30,1801M4,Juràssic mitjà,Margocalcàries,0.15,0.577436
31,1801M4,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.1,2.791136
32,1801M4,Oligocè,"Conglomerats, calcàries i argiles",0.3,8.117942
33,1801M4,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0.15,0.004106
34,1801M4,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.05,0.093305
35,1801M4,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0,0.146515
36,1801M4,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0,0.605153
37,1802M1,Juràssic Inferior,Dolomies massives i bretxes,0,1.2884
38,1802M1,Juràssic mitjà,Margocalcàries,0,0.54943
39,1802M1,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.1,2.355592
40,1802M1,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0.3,7.580508
41,1802M1,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.15,0.19722
42,1802M1,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0.15,0.971931
43,1802M1,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0,0.018406
44,1802M2,Juràssic Inferior,Dolomies massives i bretxes,0.15,1.134555
45,1802M2,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.1,5.209241
46,1802M2,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0,4.379423
47,1802M2,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.05,2.889165
48,1802M2,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0.15,5.997583
49,1802M2,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0,0.986331
50,1802M2,Triàsic inferior - mitjà (Buntsandstein),Gresos i lutites vermelles,0.1,5.443916
51,1802M2,Triàsic mitjà-superior (Muschelkalk),Calcàries micrítiques i dolomies laminades,0.3,13.353426
52,1802M3,Juràssic Inferior,Dolomies massives i bretxes,0.15,2.395748
53,1802M3,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.1,1.252749
54,1802M3,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0,0.129231
55,1802M3,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.1,6.682145
56,1802M3,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0.15,2.97867
57,1802M3,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0,2.094157
58,1802M3,Triàsic mitjà-superior (Muschelkalk),Calcàries micrítiques i dolomies laminades,0.3,19.124986
59,1803M3,Juràssic Inferior,Dolomies massives i bretxes,0,0.305669
60,1803M3,Juràssic mitjà,Margocalcàries,0.15,2.495822
