cod_municipio_ine,cod_masa,abastecimiento_agua_media_ponderada_anual_hm3
07001,1809M2,0.334
07002,1901M1,0.317
07002,1901M2,1.051
07002,1902M1,0
07003,1804M3,0.186
07003,1811M1,2.752
07003,1811M2,0.342
07003,1811M5,1.753
07004,1814M1,0.18
07004,1815M3,0.116
07005,1801M2,0.077
07006,1817M4,1.126
07006,1817M5,0.045
07007,1802M2,0.063
07008,1809M2,0.243
07008,1811M3,0.033
07009,1811M1,0.187
07010,1807M1,0.267
07010,1808M1,0.07
07010,1814M4,0.244
07011,1812M1,0.537
07011,1812M2,1.095
07012,1811M4,0.349
07013,1821M2,0.747
07013,1821M3,1.493
07014,1817M1,2.465
07014,1817M6,0.112
07015,1901M2,0.196
07015,1901M3,3.496
07016,1809M2,0.441
07017,1814M1,0.062
07018,1802M3,0.101
07019,1803M1,0.026
07019,1806M2,0.005
07020,1802M2,0.184
07020,1807M1,0.102
07020,1807M2,0.456
07021,1802M2,0.039
07022,1819M1,2.351
07022,1819M2,0.075
07022,1820M2,0.326
07023,1901M2,0.394
07024,2101M1,0.091
07025,1806M1,0.023
07025,1806M2,0.017
07026,2002M3,0.04
07026,2006M1,0.071
07026,2006M2,0.117
07026,2006M3,0.265
07027,1809M1,0.564
07027,1811M3,1.79
07028,1814M1,0.082
07029,1809M1,0.208
07029,1809M2,0.164
07029,1811M3,0.006
07030,1811M2,0.188
07031,1814M1,3.055
07031,1821M1,0.947
07032,1901M1,2.161
07032,1903SM,0.136
07033,1817M3,0.069
07033,1818M1,2.009
07033,1818M2,1.306
07033,1818M3,0.531
07033,1818M5,0.07
07033,1819M1,0.927
07033,1820M2,0.03
07033,1820M3,0.001
07034,1808M2,0.028
07034,1809M1,0.086
07034,1810M1,0.112
07035,1816M1,0.041
07036,1814M3,3.02
07036,1814M4,0.013
07037,1901M2,0
07037,1902M1,1.527
07037,1903M1,0.005
07037,1903M2,0
07038,1815M2,0.094
07039,1811M2,1.083
07040,1807M1,5.084
07040,1808M1,5.498
07040,1809M2,3.952
07040,1813M1,4.039
07040,1813M2,0.041
07040,1814M2,1.827
07040,1814M3,6.688
07040,1814M4,0.096
07041,1815M4,0.166
07042,1804M1,0.538
07042,1804M2,0.582
07042,1805M2,0.227
07042,1805M3,0.124
07043,1815M1,0.243
07044,1811M1,1.447
07044,1811M5,0.142
07045,1807M2,0.067
07045,1812M1,0.022
07045,1812M2,0.056
07046,2002M1,0.198
07046,2002M2,0.314
07046,2002M3,0.073
07046,2006M1,0.361
07046,2006M3,0.461
07047,1811M2,0.2
07047,1811M3,0.238
07047,1814M1,0.056
07048,2002M2,0.073
07048,2002M3,0.152
07048,2005M1,0.047
07048,2005M2,0.019
07048,2006M3,1.219
07049,1815M4,0.127
07050,2001M1,0.131
07050,2001M2,0.094
07050,2003M3,0.004
07050,2003M4,0.05
07050,2004M1,0.08
07051,1817M2,2.05
07051,1817M3,1.094
07051,1818M2,0.144
07052,1901M1,1.423
07053,1814M1,0.131
07054,2003M1,1.326
07054,2003M2,0.397
07054,2003M3,0.831
07054,2004M1,0
07054,2004M2,1
07054,2006M1,0.451
07054,2006M2,0.226
07054,2006M3,0.237
07055,1816M1,0.426
07055,1816M2,1.658
07056,1814M3,0.185
07057,1819M1,0.579
07057,1819M2,0.912
07057,1820M1,1.29
07057,1821M2,0.013
07058,1809M1,0.026
07058,1810M1,0.34
07059,1821M2,0.018
07060,1811M2,0.328
07061,1806M1,0.419
07061,1806M2,0.038
07061,1806M3,0
07061,1806M4,0.534
07062,1817M1,0.259
07062,1817M2,1.801
07062,1817M3,0.636
07063,1802M2,0.096
07063,1802M3,0.159
07063,1807M1,0.037
07064,1901M1,0.461
07065,1815M4,0.226
07901,1816M1,0.106
07902,1901M2,0.428
