cod_pozo,cod_provincia,nombre,cod_masa,X,Y,cota_terreno_m,red_cualitativa,red_piezometrica
EI0001,072,Sant Miquel Poble,2003M4,364532,4323728,148.5,FALSE,TRUE
EI0004,072,X-1 Sant Antoni (c Londres),2002M2,353429,4316057,2.7,FALSE,TRUE
EI0005,072,300-1 camí Butano Sa Vurera,2002M2,356124,4315959,25.0,FALSE,TRUE
EI0006,072,302-4 Sondeig Castell des Puig,2002M3,357241,4315017,56.6,FALSE,TRUE
EI0007,072,X-2 Camí es Pla,2002M2,355455,4316207,14.4,FALSE,TRUE
EI0008,072,X-5 Nòria es Pla,2002M2,354465,4316363,9.8,TRUE,TRUE
EI0009,072,340-4 després s'Hort Nou,2006M1,362513,4315607,69.3,FALSE,TRUE
EI0010,072,340-6 Noria abans s'Hort Nou,2006M1,362859,4315734,65.2,FALSE,TRUE
EI0011,072,341-1 Noria en front Can Bernat,2006M1,363953,4314842,49.6,FALSE,TRUE
EI0012,072,342-1 en front Can Rei,2003M3,365514,4315313,83.9,FALSE,TRUE
EI0013,072,374-1 Can Ramon,2006M2,365541,4311745,32.6,FALSE,TRUE
EI0014,072,377-2 dalt Casa Guapa,2003M3,367648,4315634,63.1,FALSE,TRUE
EI0015,072,400-10 Eivissa Garden,2006M2,364986,4310464,12.5,FALSE,TRUE
EI0016,072,Pou 815 Santa Gertrudis,2006M1,364665,4316421,99.3,TRUE,TRUE
EI0017,072,391-2 Torrent Jondal,2006M3,354069,4304149,8.3,FALSE,TRUE
EI0018,072,394-2 Molí Costat Huedo,2006M2,357654,4304595,19.1,FALSE,TRUE
EI0019,072,394-3 costat Huedo,2006M2,357842,4304160,12.8,TRUE,TRUE
EI0020,072,397-1 Roig (Sant Jordi),2006M2,360506,4306569,29.6,TRUE,TRUE
EI0021,072,415-1 Darrera Aeroport,2006M2,360368,4304521,5.4,TRUE,TRUE
EI0022,072,415-2 Darrera Aeroport,2006M2,358644,4303629,3.5,FALSE,TRUE
EI0023,072,397-13 Molí davant discoteca,2006M2,360637,4304771,4.2,FALSE,TRUE
EI0025,072,379-5 Pont de Sa Llosa,2003M1,371288,4317057,40.9,FALSE,TRUE
EI0026,072,298-1 Carretera St Josep,2002M2,353479,4313666,26.5,FALSE,TRUE
EI0028,072,394-1 costat Planas,2006M2,358025,4304964,24.7,TRUE,TRUE
EI0029,072,394-4 costat Torrent Sa Font,2006M2,357710,4305606,37.9,TRUE,TRUE
EI0032,072,383-1 Noria Cala Pada,2004M2,375468,4317423,13.7,FALSE,TRUE
EI0033,072,405-3 Noria Cala Llonga,2003M2,370666,4312219,13.3,TRUE,TRUE
EI0112,072,Can Marge I,2004M1,375593,4326347,48.2,TRUE,FALSE
EI0119,072,Can Fita II,2006M3,361004,4308473,105.9,TRUE,TRUE
EI0120,072,Cas Corp I,2006M3,362966,4310707,39.7,TRUE,TRUE
EI0121,072,Cas Corp II,2006M3,363067,4310721,40.5,TRUE,TRUE
EI0122,072,Es Fornàs,2006M3,362033,4310894,57.8,TRUE,TRUE
EI0123,072,Can Costa,2006M3,360594,4309310,133.7,TRUE,TRUE
EI0124,072,Sa Rota des Puig,2004M2,375812,4320037,63.9,TRUE,TRUE
EI0127,072,Casa Anglès,2004M2,375992,4318622,31.6,TRUE,TRUE
EI0136,072,Can Pep Rayet 3,2003M2,366437,4310974,62.5,TRUE,TRUE
EI0137,072,Can Pep Rayet 4,2003M2,366445,4311032,68.1,TRUE,TRUE
EI0138,072,Can Pep Rayet 1,2003M2,366355,4310874,63.3,TRUE,TRUE
EI0141,072,Can Pep Parra,2002M3,360184,4313807,129.5,TRUE,TRUE
EI0142,072,Can Bonet de Baix,2006M1,363130,4314595,130.6,TRUE,TRUE
EI0150,072,Granja Consell,2004M2,373836,4317170,13.8,FALSE,TRUE
EI0152,072,Sa Gravada 6,2003M2,370195,4312868,37.9,FALSE,TRUE
EI0155,072,Can Xicu Sala,2004M2,377059,4321575,77.1,TRUE,TRUE
EI0157,072,Ses Eres I,2006M3,360014,4308791,83.3,FALSE,TRUE
EI0158,072,Can Simó,2006M3,362095,4309772,72.0,TRUE,TRUE
EI0159,072,Can Fita I,2006M3,360682,4308686,120.7,TRUE,FALSE
EI0162,072,Sa Talaia,2005M1,349167,4308304,260.1,TRUE,FALSE
EI0163,072,Can Vicent Ribas,2002M3,355678,4311619,116.0,TRUE,TRUE
EI0164,072,Cala Tarida,2005M1,347837,4312205,66.9,FALSE,TRUE
EI0166,072,Cavero,2006M3,358898,4306964,52.4,TRUE,FALSE
EI0173,072,Can Pere March I,2002M2,353434,4313933,17.1,TRUE,TRUE
EI0174,072,Can Joan Bernat,2002M2,351871,4314224,17.5,TRUE,TRUE
EI0175,072,Josep Ribas I,2002M2,351924,4313527,38.5,TRUE,TRUE
EI0179,072,Can Micolau,2002M1,354750,4317197,49.9,TRUE,TRUE
EI0182,072,Can Turet,2002M2,355721,4316685,22.2,TRUE,TRUE
EI0183,072,Can Forn 2,2002M1,355898,4317606,50.2,TRUE,TRUE
EI0188,072,Can Xic Andreu,2001M1,371259,4327698,84.4,TRUE,TRUE
EI0189,072,Cas Cotxu,2001M1,369898,4325482,135.7,TRUE,TRUE
EI0190,072,Can Covetes,2001M1,370321,4326252,151.8,TRUE,TRUE
EI0191,072,Escoles Sant Miquel,2003M4,364543,4323469,145.8,TRUE,TRUE
EI0194,072,Can Llaurador,2003M3,369240,4315674,70.9,TRUE,TRUE
EI0195,072,Can Basora 1,2003M1,370815,4316040,37.1,TRUE,TRUE
EI0196,072,Juan Sala I,2003M1,371458,4316830,40.2,TRUE,TRUE
EI0197,072,Juan Sala II,2003M1,371516,4316942,65.8,TRUE,TRUE
EI0198,072,Juan Sala III,2003M1,371640,4317151,54.5,TRUE,TRUE
EI0208,072,Ca'n Guasch,2003M3,365060,4317985,112.3,TRUE,TRUE
EI0219,072,Can Toni Sastre,2003M4,363500,4321479,158.0,TRUE,TRUE
EI0220,072,Cap de sa Tanca,2005M1,350282,4309601,195.1,TRUE,TRUE
EI0221,072,Can Joan Cant,2005M2,352374,4309497,177.3,TRUE,TRUE
EI0223,072,Can Vicenç Tallada,2005M2,353317,4309349,157.7,TRUE,TRUE
EI0227,072,Pou 22 Santa Gertrudis,2006M1,364903,4315293,80.5,TRUE,TRUE
EI0230,072,Artea I nou,2006M1,363361,4318109,153.9,TRUE,FALSE
EI0231,072,Es Forn Nou,2002M3,351559,4310766,104.6,TRUE,TRUE
EI0235,072,Sínia st Antoni (14.005),2002M2,354450,4316253,7.5,TRUE,TRUE
EI0241,072,Can Sastre A-8340,2001M1,371709,4326254,211.6,TRUE,TRUE
EI0242,072,Ses Eres II,2006M3,359827,4309037,98.2,FALSE,TRUE
EI0255,072,Eivissa Garden,2006M2,365113,4310380,9.7,TRUE,TRUE
EI0298,072,Can Sastre Yrida,2002M1,356937,4319142,73.0,TRUE,TRUE
EI0301,072,Can Pep Andreu,2003M3,369690,4321604,76.8,FALSE,TRUE
EI0303,072,Benito Fulgencio,2004M2,375010,4320406,49.5,FALSE,TRUE
EI0304,072,Can Berris,2005M2,352737,4309085,156.9,TRUE,TRUE
EI0305,072,Can Gerchu,2006M3,355827,4306606,92.6,TRUE,TRUE
EI0306,072,Marina den Juano,2001M2,364469,4326133,26.8,TRUE,TRUE
EI0307,072,Mestre Sa Bassa,2005M1,348265,4313351,42.7,TRUE,TRUE
EI0308,072,Sa Tanca Ribas,2002M2,351780,4313574,38.1,TRUE,TRUE
EI0310,072,Casa Lima,2002M1,353027,4317501,51.5,FALSE,TRUE
EI0311,072,Forada Juan Tur,2002M1,359479,4317311,107.7,FALSE,TRUE
EI0312,072,Can Turico,2002M1,352846,4317363,43.2,FALSE,TRUE
EI0313,072,Can Sulallas,2001M2,362343,4324921,187.6,TRUE,TRUE
EI0314,072,Can Ric Sa Vurera,2002M2,356235,4316892,24.1,FALSE,TRUE
EI0315,072,Can Miquel des Rec,2001M2,357904,4322653,192.6,TRUE,TRUE
EI0316,072,Can Juan Cova,2003M4,364722,4323809,139.6,TRUE,TRUE
