cod_masa,recurso_potencial_hm3
1801M1,0.752
1801M2,1.198
1801M3,0.823
1801M4,1.644
1802M1,1.748
1802M2,4.189
1802M3,5.592
1804M1,7.073
1804M2,6.033
1804M3,4.134
1805M1,9.389
1805M2,5.238
1805M3,1.15
1806M1,10.734
1806M2,7.419
1806M3,3.569
1806M4,3.212
1807M1,10.472
1807M2,4.01
1808M1,12.828
1808M2,5.817
1809M1,2.7
1809M2,6.6
1810M1,16.309
1811M1,28.934
1811M2,20.164
1811M3,10.712
1811M4,1.602
1811M5,2.4
1812M1,3.304
1812M2,4.781
1812M3,3.487
1813M1,4.766
1813M2,4.769
1814M1,13.333
1814M2,11.863
1814M3,20.605
1814M4,6.931
1815M1,2.292
1815M2,2.791
1815M3,2.14
1815M4,4.891
1816M1,3.418
1816M2,16.176
1817M1,6.555
1817M2,3.429
1817M3,3.601
1817M4,3.271
1817M5,1.917
1817M6,2.071
1818M1,4.495
1818M2,2.42
1818M3,1.355
1818M4,3.284
1818M5,0.778
1819M1,6.63
1819M2,1.584
1820M1,7.179
1820M2,7.424
1820M3,8.063
1821M1,22.707
1821M2,21.526
1821M3,7.069
1901M1,19.864
1901M2,16.615
1901M3,21.487
2001M1,2.402
2001M2,1.644
2002M1,1.73
2002M2,1.546
2002M3,1.442
2003M1,2.596
2003M2,1.054
2003M3,4.369
2003M4,1.988
2004M1,0.92
2004M2,2.826
2005M1,1.809
2005M2,0.785
2006M1,1.713
2006M2,3.018
2006M3,3.783
